"scientific_name","taxocode","a3_code","isscaap","english_name"
"Cyttus australis","1620101103","ZCU",34,"Silver dory"
"Zeidae","16201XXXXX","ZEX",34,"Dories nei"
"Grammicolepis brachiusculus","1620200101","GMG",34,"Thorny tinselfish"
"Xenolepidichthys dalgleishi","1620200201","XED",34,"Spotted tinselfish"
"Capros aper","1620300201","BOC",34,"Boarfish"
"Antigonia capros","1620300801","ZAC",34,"Deepbody boarfish"
"Antigonia malayana","1620300802","ZAM",34,""
"Caproidae","16203XXXXX","BOR",34,"Boarfishes nei"
"Neocyttus helgae","1620400101","ONE",34,""
"Neocyttus rhomboidalis","1620400102","ONV",34,"Spiky oreo"
"Pseudocyttus maculatus","1620400201","SSO",34,"Smooth oreo dory"
"Oreosoma atlanticum","1620400401","OOT",34,"Ox-eyed oreo"
"Allocyttus niger","1620400701","BOE",34,"Black oreo"
"Allocyttus verrucosus","1620400702","ALL",34,"Warty dory"
"Allocyttus spp","16204007XX","AHX",34,""
"Oreosomatidae","16204XXXXX","ORD",34,"Oreo dories nei"
"Parazen pacificus","1620500101","PZP",34,"Parazen"
"Cyttula macropus","1620600101","MTY",34,""
"Zenion japonicum","1620600201","MZJ",34,""
"Gulaphallus bikolanus","1630100101","GUK",37,""
"Neostethus amaricola","1630100201","NSR",37,""
"Phallostethus dunckeri","1630100301","FDK",37,""
"Phenacostethus posthon","1630100401","FCT",37,""
"Atherinella argentea","1630200101","ALQ",37,"Moon silverside"
"Odontesthes regia","1630200201","ODR",37,"Chilean silverside"
"Odontesthes bonariensis","1630200203","BCB",13,"Argentinian silverside"
"Odontesthes smitti","1630200204","OWM",37,""
"Odontesthes spp","16302002XX","OGW",37,""
"Atherina boyeri","1630200301","ATB",37,"Big-scale sand smelt"
"Atherina hepsetus","1630200302","AHH",37,"Mediterranean sand smelt"
"Atherina presbyter","1630200303","ATP",37,"Sand smelt"
"Atherina breviceps","1630200304","ATQ",37,"Cape silverside"
"Atherina spp","16302003XX","AVX",37,"Sand smelts nei"
"Atherinomorus balabacensis","1630200401","ANQ",37,"Balabac Island silverside"
"Atherinops affinis","1630200501","AON",37,"Topsmelt silverside"
"Chirostoma estor","1630200601","KRE",13,""
"Chirostoma grandocule","1630200602","KRG",13,""
"Chirostoma spp","16302006XX","KRW",13,""
"Atherion africanus","1630200701","AFF",37,"Pricklenose silverside"
"Eurystole eriarcha","1630200801","EUI",37,"Longfin silverside"
"Coleotropis blackburni","1630201001","CBB",37,"Beach silverside"
"Leuresthes sardina","1630201101","LSS",37,"Gulf grunion"
"Colpichthys hubbsi","1630201201","CPK",37,"Delta silverside"
"Menidia beryllina","1630201301","MNR",37,"Inland silverside"
"Menidia menidia","1630201302","SSA",37,"Atlantic silverside"
"Craterocephalus capreoli","1630201401","CFC",37,"Rendahl's hardyhead"
"Basilichthys australis","1630201602","BHL",13,""
"Basilichthys microlepidotus","1630201606","BHP",13,""
"Melaniris pachylepis","1630201901","MNY",37,"Thickscale silverside"
"Melanorhinus cyanellus","1630202001","MLY",37,"Blackback silverside"
"Atherinosoma wallacei","1630202101","AEW",37,""
"Membras analis","1630202201","MMN",37,"Backwaters silverside"
"Poblana alchichica","1630203001","PBH",13,""
"Stenatherina panatela","1630203301","SNF",37,"Panatella silverside"
"Hypoatherina barnesi","1630203501","HYO",37,"Barnes' silverside"
"Labidesthes sicculus","1630203701","LSU",13,"Brook silverside"
"Atherinopsis californiensis","1630203801","AFC",37,"Jack silverside"
"Teramulus kieneri","1630203901","TKI",37,"Kiener's silverside"
"Atherinidae","16302XXXXX","SIL",37,"Silversides(=Sand smelts) nei"
"Bedotia geayi","1630300101","BGY",13,""
"Rheocles alaotrensis","1630300201","RCO",13,"Katrana"
"Cairnsichthys rhombosomoides","1630400101","YCR",13,""
"Chilatherina axelrodi","1630400201","CTX",13,"Axelrod's rainbowfish"
"Glossolepis incisus","1630400301","GII",13,"Red rainbowfish"
"Iriatherina werneri","1630400401","IRW",13,"Threadfin rainbowfish"
"Melanotaenia affinis","1630400501","MLF",13,"North New Guinea rainbowfish"
"Rhadinocentrus ornatus","1630400601","RCN",13,""
"Kiunga ballochi","1630500101","KUA",13,"Glass blue-eye"
"Pseudomugil connieae","1630500201","PDQ",13,"Popondetta blue-eye"
"Scaturiginichthys vermeilipinnis","1630500301","SGV",13,"Redfinned blue-eye"
"Pseudomugilidae","16305XXXXX","PSD",13,"Blue eyes"
"Iso flosmaris","1630600101","IFL",37,""
"Notocheirus hubbsi","1630600201","NCH",37,""
"Kalyptatherina helodes","1630700101","KYH",37,"Marine sailfin silverside"
"Paratherina cyanea","1630700201","PIY",37,""
"Quirichthys stramineus","1630700301","QUS",37,""
"Telmatherina abendanoni","1630700401","TEB",37,""
"Tominanga aurea","1630700501","TGU",37,""
"Dentatherina merceri","1630800101","DTE",37,"Mercer's tusked silverside"
"Mugil cephalus","1650100102","MUF",33,"Flathead grey mullet"
"Mugil liza","1650100112","MUB",33,"Lebranche mullet"
"Mugil curema","1650100121","MGU",33,"White mullet"
"Mugil incilis","1650100122","MGI",33,"Parassi mullet"
"Mugil rammelsbergii","1650100125","MMB",33,""
"Mugil trichodon","1650100127","MMW",33,""
"Mugil soiuy","1650100128","MYZ",33,"So-iuy mullet"
"Mugil capurrii","1650100143","MUO",33,"Leaping African mullet"
"Mugil spp","16501001XX","MGS",33,""
"Chelon bispinosus","1650100201","MBP",33,""
"Chelon labrosus","1650100202","MLR",33,"Thicklip grey mullet"
"Chelon persicus","1650100203","MPK",33,"Persian mullet"
"Chelon haematocheilus","1650100204","SOY",33,"So-iny (redlip) mullet"
"Aldrichetta forsteri","1650100401","MAD",33,"Yellow-eye mullet"
"Agonostomus telfairii","1650100601","MAJ",33,"Fairy mullet"
"Agonostomus monticola","1650100602","AJW",33,"Mountain mullet"
